Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 20:02:30.213,114339.7,0.087,BTCUSDT
2025-09-30 20:02:30.216,114339.7,0.008,BTCUSDT
2025-09-30 20:02:30.219,114339.7,0.008,BTCUSDT
2025-09-30 20:02:30.543,114339.7,0.003,BTCUSDT
2025-09-30 20:02:30.637,114339.7,0.001,BTCUSDT
2025-09-30 20:02:30.685,114339.7,0.001,BTCUSDT
2025-09-30 20:02:30.786,114339.6,0.004,BTCUSDT
2025-09-30 20:02:30.786,114339.6,0.002,BTCUSDT
2025-09-30 20:02:30.786,114339.6,0.034,BTCUSDT
2025-09-30 20:02:30.786,114339.6,0.014,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.006,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.003,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.004,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.057,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.001,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.003,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.003,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.001,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.002,BTCUSDT
2025-09-30 20:02:30.997,114339.6,0.003,BTCUSDT
2025-09-30 20:02:31.002,114339.7,0.008,BTCUSDT
2025-09-30 20:02:31.085,114339.7,0.016,BTCUSDT
2025-09-30 20:02:31.212,114339.7,0.008,BTCUSDT
2025-09-30 20:02:31.218,114339.7,0.004,BTCUSDT
2025-09-30 20:02:31.280,114339.6,0.011,BTCUSDT
2025-09-30 20:02:31.413,114339.7,0.008,BTCUSDT
2025-09-30 20:02:31.496,114339.7,0.001,BTCUSDT
2025-09-30 20:02:31.499,114339.6,0.001,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.29,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.001,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.005,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.009,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.011,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.001,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.005,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.005,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.004,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.004,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.001,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.001,BTCUSDT
2025-09-30 20:02:31.515,114339.7,0.012,BTCUSDT
2025-09-30 20:02:31.805,114339.7,0.008,BTCUSDT
2025-09-30 20:02:31.817,114339.7,0.004,BTCUSDT
2025-09-30 20:02:31.893,114339.7,0.006,BTCUSDT
2025-09-30 20:02:31.911,114339.6,0.003,BTCUSDT
2025-09-30 20:02:31.917,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.094,114339.6,0.001,BTCUSDT
2025-09-30 20:02:32.172,114339.7,0.012,BTCUSDT
2025-09-30 20:02:32.172,114339.7,0.003,BTCUSDT
2025-09-30 20:02:32.205,114339.7,0.002,BTCUSDT
2025-09-30 20:02:32.205,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.205,114339.7,0.004,BTCUSDT
2025-09-30 20:02:32.205,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.339,114339.6,0.037,BTCUSDT
2025-09-30 20:02:32.480,114339.7,0.002,BTCUSDT
2025-09-30 20:02:32.480,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.480,114339.7,0.025,BTCUSDT
2025-09-30 20:02:32.480,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.480,114339.7,0.004,BTCUSDT
2025-09-30 20:02:32.545,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.545,114339.7,0.001,BTCUSDT
2025-09-30 20:02:32.705,114339.6,0.02,BTCUSDT
2025-09-30 20:02:33.013,114339.7,0.002,BTCUSDT
2025-09-30 20:02:33.013,114339.7,0.003,BTCUSDT
2025-09-30 20:02:33.013,114339.7,0.003,BTCUSDT
2025-09-30 20:02:33.017,114339.6,0.004,BTCUSDT
2025-09-30 20:02:33.291,114339.6,0.005,BTCUSDT
2025-09-30 20:02:33.366,114339.6,0.001,BTCUSDT
2025-09-30 20:02:33.482,114339.6,0.007,BTCUSDT
2025-09-30 20:02:33.543,114339.7,0.014,BTCUSDT
2025-09-30 20:02:33.565,114339.6,0.002,BTCUSDT
2025-09-30 20:02:33.672,114339.6,0.001,BTCUSDT
2025-09-30 20:02:33.925,114339.6,0.022,BTCUSDT
2025-09-30 20:02:33.925,114339.6,0.004,BTCUSDT
2025-09-30 20:02:33.925,114339.6,0.025,BTCUSDT
2025-09-30 20:02:33.925,114339.6,0.082,BTCUSDT
2025-09-30 20:02:34.013,114339.7,0.008,BTCUSDT
2025-09-30 20:02:34.214,114339.6,0.437,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.002,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.001,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.004,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.038,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.001,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.002,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.004,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.003,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.002,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.001,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.168,BTCUSDT
2025-09-30 20:02:34.500,114339.6,0.002,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.005,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.081,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.044,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.002,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.072,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.212,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.03,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.017,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.009,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.038,BTCUSDT
2025-09-30 20:02:34.545,114339.5,0.002,BTCUSDT
2025-09-30 20:02:34.545,114339.4,0.001,BTCUSDT
2025-09-30 20:02:34.545,114339.2,0.02,BTCUSDT
2025-09-30 20:02:34.545,114339.1,0.002,BTCUSDT
2025-09-30 20:02:34.545,114339.1,0.035,BTCUSDT
2025-09-30 20:02:34.545,114339.1,0.002,BTCUSDT
2025-09-30 20:02:34.545,114339.0,0.002,BTCUSDT
2025-09-30 20:02:34.559,114338.7,0.008,BTCUSDT
2025-09-30 20:02:34.559,114338.7,0.009,BTCUSDT
2025-09-30 20:02:34.559,114338.7,0.001,BTCUSDT
2025-09-30 20:02:34.559,114338.7,0.001,BTCUSDT
2025-09-30 20:02:34.559,114338.6,0.001,BTCUSDT
2025-09-30 20:02:34.559,114338.4,0.001,BTCUSDT
2025-09-30 20:02:34.568,114338.4,0.001,BTCUSDT
2025-09-30 20:02:34.568,114338.2,0.031,BTCUSDT
